Species;Cox1;Cytb;ENC1;ETS2;myh6;plagl2;Rag1;Rh;zic1
Naso_brachycentron;NA;AY264644;NA;AY264697;NA;NA;NA;NA;NA
Naso_brevirostris;KC623679;KC623717;EF539240;AY264698;EF536293;EF536255;EF530093;KC623889;EF533916
Naso_caeruleacauda;NA;AY264646;NA;AY264699;NA;NA;NA;NA;NA
Naso_caesius;NA;AY264647;NA;AY264700;NA;NA;NA;NA;NA
Naso_elegans;KC623680;KC623718;KC623754;AY264701;KC623853;KC623890;NA;NA;NA
Naso_fageni;NA;AY264649;NA;AY264702;NA;NA;NA;NA;NA
Naso_hexacanthus;NA;AY264650;NA;AY264703;NA;NA;NA;NA;NA
Naso_lituratus;HM034247;AY264651;EF539239;AY264704;EF536292;EF536254;EF530092;EU637984;EF533915
Naso_lopezi;AP009163;AY264652;NA;AY264705;NA;NA;NA;NA;NA
Naso_maculatus;NA;AY264653;NA;AY264706;NA;NA;NA;NA;NA
Naso_mcdadei;NA;AY264654;NA;AY264707;NA;NA;NA;NA;NA
Naso_minor;NA;AY264655;NA;AY264708;NA;NA;NA;NA;NA
Naso_reticulatus;NA;AY264656;NA;AY264709;NA;NA;NA;NA;NA
Naso_thynnoides;NA;AY264657;NA;AY264710;NA;NA;NA;NA;NA
Naso_tonganus;NA;AY264658;NA;AY264711;NA;NA;NA;NA;NA
Naso_tuberosus;NA;AY264659;NA;AY264712;NA;NA;NA;NA;NA
Naso_unicornis;KC623681;KC623719;KC623755;AY264713;KC623787;KC623822;KC623854;KC623891;KC623927
Naso_vlamingii;KC623682;KC623720;KC623756;AY264714;KC623788;KC623823;KC623855;KC623892;KC623928
Paracanthurus_hepatus;KC623683;KC623721;EF539244;AY264680;EF536297;EF536259;EF530097;KC623893;EF533920
Prionurus_biafraensis;KC623684;KC623722;KC623757;NA;KC623789;KC623824;KC623856;KC623894;KP280517
Prionurus_chrysurus;KP280488;NA;NA;NA;NA;NA;KP280510;NA;KP280518
Prionurus_laticlavius;KC623685;KC623723;KC623758;NA;KC623790;KC623825;KC623857;KC623895;KP280519
Prionurus_maculatus;KC623687;KC623725;NA;NA;KC623792;NA;NA;KC623897;KC623932
Prionurus_microlepidotus;NA;KC623726;NA;AY264681;KC623793;EF536260;KC623859;NA;EF533921
Prionurus_punctatus;KC623686;KC623724;KC623759;NA;KC623791;NA;KC623858;KC623896;KC623931
Prionurus_scalprum;NA;AY264629;NA;AY264682;NA;NA;NA;NA;NA
Zebrasoma_desjardinii;KC623688;KC623727;KC623760;NA;KC623794;NA;KC623860;KC623898;KC623934
Zebrasoma_flavescens;KC623689;AP006032;KC623761;NA;KC623795;KC623827;KC623861;KC623899;KC623935
Zebrasoma_gemmatum;JF494799;NA;NA;NA;NA;NA;NA;NA;NA
Zebrasoma_rostratum;HM034282;NA;NA;NA;NA;NA;KF141385;NA;KF140659
Zebrasoma_scopas;KC623690;KC623728;EF539238;AY264683;KC623796;EF536253;AY308776;KC623900;KC623936
Zebrasoma_velifer;KC623691;KC623729;KC623762;AY264684;KC623797;NA;KC623862;KC623901;KC623937
Zebrasoma_xanthurum;MF124084;KT953199;NA;KT953235;NA;NA;NA;NA;NA
Zanclus_cornutus;KC623652;AY264626;EF539247;AY264679;EF536300;EF536262;EF530100;NA;EF533923
Luvarus_imperialis;KC623653;AY264625;EF539246;AY264678;EF536299;EF536261;EF530099;EU637975;EF533922
